name,is_potentially_hazardous_asteroid,estimated_diameter.kilometers.estimated_diameter_min,estimated_diameter.kilometers.estimated_diameter_max,orbital_data.semi_major_axis,orbital_data.eccentricity,orbital_data.inclination,orbital_data.orbital_period,orbital_data.orbit_class.orbit_class_type,miss_distance_km,velocity_kph
(2026 AS2),False,0.0390440605,0.0873051733,1.284518527161467,.3654966635634743,16.30027530311019,531.7518210414191,APO,27896934.562525447,58293.1967665626
(2026 AT2),False,0.0089403594,0.0199912513,1.197652802517675,.3768340233840035,6.888914698614313,478.7346140328547,APO,4800004.43751776,38449.4063343822
(2026 AW2),False,0.0355103519,0.0794035608,.9922556656722936,.06814363273799937,23.00646808731124,361.0221164737556,ATE,29688785.910240203,51571.2111633198
(2026 AX2),False,0.0517553174,0.115728408,1.726058574961147,.6001595172224495,5.535440793069116,828.2886712572918,APO,1566815.011820505,60308.6971536817
(2026 AY2),False,0.0584998802,0.1308097088,1.847469415290281,.6345021319825134,24.16821549516164,917.2005637517852,APO,9955312.777197933,74698.1283230266
(2026 AZ2),False,0.0098754064,0.02208208,1.263284572587426,.5283563702642052,13.81591882736136,518.621140182733,APO,2602940.750165441,66435.261245105
(2026 AA3),False,0.0235914686,0.0527521274,1.457359514358443,.7571694615303245,6.025329248148364,642.6114770164263,APO,1639219.498273072,94049.3303240814
(2026 AB3),False,0.027641078,0.0618073294,1.859700655691181,.6516074721303721,6.123018322538604,926.3241640014336,APO,2846319.669854853,67751.3944155892
(2026 AC3),False,0.0314307668,0.0702813312,1.452988245031014,.3399361158117869,4.654872179167039,639.7224296919776,APO,12581350.10707033,18942.1796649943
(2026 AD3),False,0.0081875691,0.018307961,1.395452670467358,.3495351627489489,.8270224866090827,602.1034193145778,APO,7825973.691171184,32532.9277155391
(2026 AE3),False,0.0260228571,0.0581888774,2.544782833710549,.5874399425497759,1.314475193480168,1482.772478687548,AMO,14060787.261951674,27904.6547824134
(2025 YN13),False,0.0546959257,0.1223038079,1.814439096359215,.3729684714665106,6.658125370648648,892.7133299513188,AMO,29652455.57383773,14648.4960130575
(2026 AG3),False,0.0151410145,0.0338563378,2.804315518562839,.6477111686176177,10.73404236342105,1715.294676691253,APO,275722017.22615033,32663.4781385301
